WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Hot-spot rho-R (mg/cm^2), Shell rho-R (mg/cm^2)
N210317-001 000-000:1,490000000.0,58000000.0,15.21,0.07,0,0,0.0,0.0,0.0,0.0
N210317-001 090-078:1,400000000.0,51000000.0,15.11,0.06,0,0,0.0,0.0,0.0,0.0
N210317-002 000-000:1,490000000.0,58000000.0,15.21,0.07,0,0,0.0,0.0,0.0,0.0
N210317-002 090-078:1,400000000.0,56000000.0,15.11,0.06,0,0,0.0,0.0,0.0,0.0
N220223-001 000-000:1,320000000.0,16000000.0,15.14,0.06,0,0,0.0,0.0,0.0,0.0
N220223-001 090-078:1,470000000.0,43000000.0,15.0,0.07,0,0,0.0,0.0,0.0,0.0
N220223-003 000-000:1,400000000.0,26000000.0,15.27,0.07,0,0,0.0,0.0,0.0,0.0
N220223-003 090-078:1,490000000.0,51000000.0,15.11,0.07,0,0,0.0,0.0,0.0,0.0
N220223-004 000-000:1,620000000.0,39000000.0,15.19,0.06,0,0,0.0,0.0,0.0,0.0
N220223-004 090-078:1,580000000.0,35000000.0,14.93,0.06,0,0,0.0,0.0,0.0,0.0
N221110-001 00-000:1,460000000.0,55000000.0,15.1,0.07,0,0,nan,nan,0.0,0.0
N221110-001 90-078:1,480000000.0,71000000.0,14.93,0.06,0,0,nan,nan,0.0,0.0
N221110-002 00-000:1,260000000.0,33000000.0,15.29,0.06,0,0,nan,nan,0.0,0.0
N221110-002 90-078:1,510000000.0,130000000.0,14.75,0.07,0,0,nan,nan,0.0,0.0
N221110-003 00-000:1,580000000.0,75000000.0,15.06,0.07,0,0,nan,nan,0.0,0.0
N221110-003 90-078:1,640000000.0,65000000.0,14.74,0.08,0,0,nan,nan,0.0,0.0
